City Name,Population,Area (sq. km),Smart Infrastructure Score,Energy Consumption,Public Transport Usage,Air Quality Index,Education Index,Healthcare Index,Employment Rate,Smart Grid Adoption,Waste Management Score,Internet Speed (Mbps),Safety Index,Cost of Living Index
City1,537884,147.2,28.6,573.1,28.9,31.9,27.1,33.6,57.4,33.7,25.6,182.8,47.9,54.6
City2,221113,142.0,25.9,598.7,40.1,54.6,26.0,41.9,55.7,30.4,24.8,193.7,47.5,72.1
City3,664482,50.0,56.8,465.2,51.6,63.2,66.7,65.1,75.2,68.6,44.6,315.8,65.0,78.6
City4,2263090,164.7,32.2,657.7,34.1,59.6,55.1,47.0,65.0,55.1,36.0,216.2,47.2,68.5
City5,193336,589.6,50.3,561.7,49.0,39.4,49.9,53.3,69.9,40.1,63.1,286.8,67.1,66.9
City6,193340,53.0,22.3,913.8,34.5,43.5,13.1,17.8,57.4,26.0,27.1,75.3,45.9,58.4
City7,2448284,861.1,59.2,438.9,49.3,54.0,54.5,57.3,77.5,51.8,54.7,299.1,41.0,72.0
City8,785761,439.4,50.0,481.2,49.6,36.1,53.3,45.3,59.3,46.5,45.2,236.8,33.0,76.6
City9,139070,101.4,16.6,609.6,23.3,15.7,15.5,18.1,66.9,31.7,16.8,90.4,35.4,69.2
City10,573540,206.5,47.5,604.8,44.7,63.8,48.6,66.5,76.3,68.8,77.3,263.1,44.8,62.5
City11,140254,1665.7,44.2,447.0,49.0,50.5,36.1,44.6,56.1,40.0,52.2,248.6,36.7,62.9
City12,139801,590.1,56.7,416.7,52.3,45.2,49.7,47.2,65.5,56.1,63.0,211.1,56.5,82.1
City13,376527,247.3,22.1,671.9,31.5,26.0,20.4,25.2,58.8,29.2,29.3,171.4,18.7,42.0
City14,18423,184.0,37.8,460.0,54.9,44.1,41.4,39.5,62.9,42.9,51.4,248.5,37.0,45.5
City15,23983,268.3,20.0,603.2,37.8,33.3,13.0,8.1,67.0,17.9,28.9,94.1,32.8,59.9
City16,122124,132.4,11.5,555.3,28.8,20.1,16.1,19.9,52.0,15.2,15.7,73.2,39.3,52.2
City17,64993,50.0,75.3,335.3,50.3,61.8,66.0,75.4,70.8,67.6,80.7,315.2,59.6,104.2
City18,416626,2837.3,33.4,449.5,28.6,63.0,30.3,49.5,54.5,30.9,49.7,182.5,39.4,79.6
City19,75264,294.8,30.5,573.1,33.1,40.1,30.5,33.2,56.3,40.9,22.5,203.0,46.6,55.5
City20,37152,394.6,46.1,511.1,38.4,57.1,55.5,49.6,72.9,50.1,49.4,326.8,54.2,93.2
City21,2088398,228.3,57.5,539.2,47.3,58.8,56.0,41.2,66.7,46.0,34.2,236.0,33.1,80.0
City22,195616,101.3,44.9,520.5,53.8,60.9,51.2,52.2,66.2,43.7,59.3,176.6,50.4,71.7
City23,294943,195.8,78.6,479.0,66.1,92.8,68.4,73.5,81.8,77.3,71.8,397.3,64.6,103.5
City24,36510,50.0,60.2,510.0,51.4,34.5,44.2,50.6,69.3,47.3,45.6,195.1,33.3,71.4
City25,125224,3761.2,41.4,479.7,43.3,39.7,32.2,33.7,57.8,35.4,41.1,133.9,50.0,79.7
City26,313417,55.6,8.9,613.8,23.2,33.4,14.5,12.5,54.6,9.1,6.5,108.7,4.9,53.2
City27,53562,70.9,24.6,559.7,31.1,55.4,22.7,31.5,59.8,31.5,22.6,158.9,41.5,58.2
City28,454056,144.3,46.5,677.6,42.8,54.2,44.9,43.2,78.7,45.7,45.7,292.0,34.6,57.9
City29,115740,1147.9,9.2,671.3,24.4,41.3,18.1,24.0,46.2,9.7,1.2,50.0,19.7,77.5
City30,178372,249.0,46.1,497.9,59.3,38.5,47.0,62.6,65.7,40.9,31.4,332.0,69.1,88.4
City31,115567,55.5,12.5,641.1,30.1,31.2,20.8,17.4,56.4,19.4,7.3,92.7,18.6,50.4
City32,3588301,1102.4,33.8,627.4,39.8,52.4,34.3,40.1,59.1,30.6,55.2,165.3,46.8,64.9
City33,263314,588.3,39.3,414.6,37.3,41.0,42.0,48.1,68.5,36.5,51.1,303.1,49.5,63.4
City34,61035,466.9,66.7,331.6,72.0,62.2,78.2,74.8,78.3,60.2,55.8,307.8,87.5,98.3
City35,848786,577.6,75.8,241.9,67.4,62.4,85.6,89.6,93.5,79.0,76.4,409.0,84.1,85.0
City36,48572,4329.6,71.6,345.9,60.7,76.2,58.9,72.6,83.2,55.5,62.5,266.3,59.4,78.4
City37,359478,3368.1,31.2,511.3,29.9,30.4,33.8,31.6,58.6,28.6,29.1,179.9,18.8,56.6
City38,17265,107.3,58.1,567.2,68.1,71.8,48.3,43.7,57.6,37.0,41.8,251.0,49.2,90.4
City39,41795,1717.6,36.2,619.2,43.3,28.1,42.2,22.6,56.5,31.7,25.2,162.0,50.0,43.8
City40,353488,387.5,23.2,783.2,29.7,40.8,35.8,27.1,50.7,36.0,36.4,159.4,26.6,59.9
City41,754532,445.4,33.0,627.1,41.0,41.5,33.0,43.0,49.1,49.4,21.6,239.1,26.6,66.0
City42,341094,50.0,31.3,674.6,46.6,29.9,21.5,24.2,55.8,22.0,38.3,118.0,50.8,87.2
City43,228226,199.4,50.7,370.9,38.2,40.1,43.6,52.7,79.3,41.9,56.7,262.0,62.2,78.1
City44,176037,92.3,55.4,511.8,54.3,64.4,51.5,59.8,66.7,69.6,59.0,316.7,49.0,68.8
City45,33862,660.9,35.8,744.5,28.5,34.3,25.1,27.9,55.8,30.7,23.3,147.1,28.4,58.9
City46,97950,884.7,36.7,466.9,32.5,45.8,17.7,33.1,54.1,28.5,21.7,98.8,29.1,64.1
City47,140801,50.0,59.9,333.2,61.9,49.2,66.9,57.0,72.4,52.0,57.5,359.3,59.4,78.3
City48,1178757,238.3,19.5,660.6,20.0,47.4,16.1,31.5,66.0,39.4,39.0,146.9,36.5,39.6
City49,434115,940.3,52.6,390.9,61.7,48.7,41.0,41.9,66.2,64.2,37.4,216.2,64.3,64.0
City50,22736,195.6,69.5,506.4,58.2,63.9,70.7,72.1,90.3,66.1,66.0,310.9,51.8,80.7
